patent_id	assignee_sequence	assignee_id	disambig_assignee_individual_name_first	disambig_assignee_individual_name_last	disambig_assignee_organization	assignee_type	location_id
5000075	0	a-0001			Canon Kabushiki Kaisha	3	JP
5000076	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000077	0	a-0001			Canon Kabushiki Kaisha	3	JP
5000078	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000079	0	a-0002			Nikon Corporation	3	JP
5000080	0	a-0002			NIKON CORPORATION	3	JP
5000081	0	a-0002			NIKON CORPORATION	3	JP
5000082	0	a-0002			Nikon Corp	3	JP
5000083	0	a-0002			Nikon Corp	3	JP
5000084	0	a-0002			Nikon Corp	3	JP
5000085	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000086	0	a-0003			Carl Zeiss SMT GmbH	3	DE
5000087	0	a-0003			Carl Zeiss SMT AG	3	DE
5000088	0	a-0003			Carl Zeiss SMT GmbH	3	DE
5000089	0	a-0003			Carl Zeiss SMT GmbH	3	DE
5000090	0	a-0003			Carl Zeiss SMT GmbH	3	DE
5000091	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000092	0	a-0003			Carl Zeiss SMT GmbH	3	DE
5000093	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000094	0	a-0003			Carl Zeiss SMT GmbH	3	DE
5000095	0	a-0004			Taiwan Semiconductor Manufacturing Co., Ltd.	3	TW
5000096	0	a-0004			TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED	3	TW
5000097	0	a-0004			Taiwan Semiconductor Manufacturing Company, Ltd.	3	TW
5000098	0	a-0005			Samsung Electronics Co., Ltd.	3	KR
5000099	0	a-0005			Samsung Electronics Company Limited	3	KR
5000100	0	a-0006			INTEL CORPORATION	3	US
5000101	0	a-0006			INTEL CORPORATION	3	US
5000102	0	a-0006			INTEL CORPORATION	3	US
5000103	0	a-0007			Tokyo Electron Limited	3	JP
5000104	0	a-0007			Tokyo Electron Limited	3	JP
5000105	0	a-0007			TOKYO ELECTRON LIMITED	3	JP
5000106	0	a-0007			Tokyo Electron Limited	3	JP
5000107	0	a-0008			APPLIED MATERIALS, INC.	3	US
5000108	0	a-0008			Applied Materials, Inc.	3	US
5000109	0	a-0008			APPLIED MATERIALS, INC.	3	US
5000110	0	a-0009			Gigaphoton Inc.	3	JP
5000111	0	a-0009			GIGAPHOTON INC.	3	JP
5000112	0	a-0009			GIGAPHOTON INC.	3	JP
5000113	0	a-0009			GIGAPHOTON INC.	3	JP
5000114	0	a-0009			GIGAPHOTON INC.	3	JP
5000115	0	a-0010			Cymer LLC	3	US
5000116	0	a-0010			Cymer LLC	3	US
5000117	0	a-0010			CYMER, INC.	3	US
5000118	0	a-0010			CYMER, INC.	3	US
5000119	0	a-0010			Cymer, Inc.	3	US
5000120	0	a-0010			Cymer, Inc.	3	US
5000121	0	a-0011			INTERNATIONAL BUSINESS MACHINES CORPORATION	3	US
5000122	0	a-0011			International Business Machines Corporation	3	US
5000123	0	a-0011			INTERNATIONAL BUSINESS MACHINES CORPORATION	3	US
5000124	0	a-0011			International Business Machines Corporation	3	US
5000125	0	a-0011			INTERNATIONAL BUSINESS MACHINES CORPORATION	3	US
5000126	0	a-0011			International Business Machines Corporation	3	US
5000127	0	a-0000			Asml Netherlands BV	3	NL
5000128	0	a-0000			Asml Netherlands BV	3	NL
5000129	0	a-0000			ASML Netherlands, B.V.	3	NL
5000130	0	a-0000			ASML Netherlands, B.V.	3	NL
5000131	0	a-0000			Asml Netherlands BV	3	NL
5000132	0	a-0000			Asml Netherlands BV	3	NL
5000133	0	a-0000			ASML HOLDING N.V.	3	NL
5000134	0	a-0000			ASML Netherlands, B.V.	3	NL
5000135	0	a-0000			Asml Netherlands BV	3	NL
5000136	0	a-0001			Canon Inc.	3	JP
5000137	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000138	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000139	0	a-0001			Canon Inc.	3	JP
5000140	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000141	0	a-0001			Canon Inc.	3	JP
5000142	0	a-0001			Canon Inc.	3	JP
5000143	0	a-0001			Canon Kabushiki Kaisha	3	JP
5000144	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000145	0	a-0001			Canon Kabushiki Kaisha	3	JP
5000146	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000147	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000148	0	a-0002			NIKON CORPORATION	3	JP
5000149	0	a-0002			Nikon Corporation	3	JP
5000150	0	a-0002			Nikon Corporation	3	JP
5000151	0	a-0002			Nikon Corp	3	JP
5000152	0	a-0002			NIKON CORPORATION	3	JP
5000153	0	a-0002			Nikon Corp	3	JP
5000154	0	a-0002			NIKON CORPORATION	3	JP
5000155	0	a-0002			Nikon Corporation	3	JP
5000156	0	a-0003			Carl Zeiss SMT AG	3	DE
5000157	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000158	0	a-0003			Carl Zeiss SMT AG	3	DE
5000159	0	a-0003			Carl Zeiss SMT GmbH	3	DE
5000160	0	a-0003			Carl Zeiss SMT AG	3	DE
5000161	0	a-0003			Carl Zeiss SMT AG	3	DE
5000162	0	a-0003			Carl Zeiss SMT AG	3	DE
5000163	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000164	0	a-0003			Carl Zeiss SMT AG	3	DE
5000165	0	a-0004			TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED	3	TW
5000166	0	a-0004			TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED	3	TW
5000167	0	a-0004			Taiwan Semiconductor Manufacturing Co., Ltd.	3	TW
5000168	0	a-0004			Taiwan Semiconductor Manufacturing Co., Ltd.	3	TW
5000169	0	a-0006			Intel Corporation	3	US
5000170	0	a-0006			INTEL CORPORATION	3	US
5000171	0	a-0006			INTEL CORPORATION	3	US
5000172	0	a-0006			Intel Corporation	3	US
5000173	0	a-0006			Intel Corporation	3	US
5000174	0	a-0006			Intel Corporation	3	US
5000175	0	a-0006			INTEL CORPORATION	3	US
5000176	0	a-0006			Intel Corporation	3	US
5000177	0	a-0007			TOKYO ELECTRON LIMITED	3	JP
5000178	0	a-0007			Tokyo Electron Limited	3	JP
5000179	0	a-0007			TOKYO ELECTRON LIMITED	3	JP
5000180	0	a-0007			Tokyo Electron Limited	3	JP
5000181	0	a-0009			GIGAPHOTON INC.	3	JP
5000182	0	a-0009			GIGAPHOTON INC.	3	JP
5000183	0	a-0009			GIGAPHOTON INC.	3	JP
5000184	0	a-0009			GIGAPHOTON INC.	3	JP
5000185	0	a-0009			GIGAPHOTON INC.	3	JP
5000186	0	a-0009			Gigaphoton Inc.	3	JP
5000187	0	a-0009			GIGAPHOTON INC.	3	JP
5000188	0	a-0009			Gigaphoton Inc.	3	JP
5000189	0	a-0009			GIGAPHOTON INC.	3	JP
5000190	0	a-0010			Cymer, Inc.	3	US
5000191	0	a-0010			Cymer LLC	3	US
5000192	0	a-0010			Cymer LLC	3	US
5000193	0	a-0010			CYMER, INC.	3	US
5000194	0	a-0010			Cymer, Inc.	3	US
5000195	0	a-0010			CYMER, INC.	3	US
5000196	0	a-0010			Cymer, Inc.	3	US
5000197	0	a-0010			Cymer, Inc.	3	US
5000198	0	a-0010			Cymer LLC	3	US
5000199	0	a-0000			Asml Netherlands BV	3	NL
5000200	0	a-0000			ASML HOLDING N.V.	3	NL
5000201	0	a-0000			ASML Netherlands B.V.	3	NL
5000202	0	a-0000			ASML HOLDING N.V.	3	NL
5000203	0	a-0000			Asml Netherlands BV	3	NL
5000204	0	a-0000			Asml Netherlands BV	3	NL
5000205	0	a-0000			ASML Netherlands, B.V.	3	NL
5000206	0	a-0000			Asml Netherlands BV	3	NL
5000207	0	a-0000			ASML Netherlands B.V.	3	NL
5000208	0	a-0000			ASML HOLDING N.V.	3	NL
5000209	0	a-0000			ASML Netherlands, B.V.	3	NL
5000210	0	a-0000			ASML Netherlands B.V.	3	NL
5000211	0	a-0000			Asml Netherlands BV	3	NL
5000212	0	a-0000			ASML Netherlands, B.V.	3	NL
5000213	0	a-0001			Canon Inc.	3	JP
5000214	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000215	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000216	0	a-0001			Canon Kabushiki Kaisha	3	JP
5000217	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000218	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000219	0	a-0001			Canon Inc.	3	JP
5000220	0	a-0001			Canon Inc.	3	JP
5000221	0	a-0001			Canon Kabushiki Kaisha	3	JP
5000222	0	a-0001			Canon Kabushiki Kaisha	3	JP
5000223	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000224	0	a-0001			Canon Kabushiki Kaisha	3	JP
5000225	0	a-0001			Canon Inc.	3	JP
5000226	0	a-0002			Nikon Corp	3	JP
5000227	0	a-0002			NIKON CORPORATION	3	JP
5000228	0	a-0002			Nikon Corporation	3	JP
5000229	0	a-0002			Nikon Corp	3	JP
5000230	0	a-0002			NIKON CORPORATION	3	JP
5000231	0	a-0002			Nikon Corporation	3	JP
5000232	0	a-0002			NIKON CORPORATION	3	JP
5000233	0	a-0002			Nikon Corp	3	JP
5000234	0	a-0002			Nikon Corporation	3	JP
5000235	0	a-0002			Nikon Corporation	3	JP
5000236	0	a-0002			Nikon Corporation	3	JP
5000237	0	a-0002			Nikon Corporation	3	JP
5000238	0	a-0002			Nikon Corporation	3	JP
5000239	0	a-0003			Carl Zeiss SMT AG	3	DE
5000240	0	a-0003			Carl Zeiss SMT AG	3	DE
5000241	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000242	0	a-0003			Carl Zeiss SMT GmbH	3	DE
5000243	0	a-0003			Carl Zeiss SMT AG	3	DE
5000244	0	a-0003			Carl Zeiss SMT AG	3	DE
5000245	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000246	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000247	0	a-0003			Carl Zeiss SMT GmbH	3	DE
5000248	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000249	0	a-0003			Carl Zeiss SMT GmbH	3	DE
5000250	0	a-0003			Carl Zeiss SMT GmbH	3	DE
5000251	0	a-0004			Taiwan Semiconductor Manufacturing Company, Ltd.	3	TW
5000252	0	a-0004			TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED	3	TW
5000253	0	a-0004			TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED	3	TW
5000254	0	a-0004			TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED	3	TW
5000255	0	a-0005			Samsung Electronics Company Limited	3	KR
5000256	0	a-0005			Samsung Electronics Co., Ltd.	3	KR
5000257	0	a-0005			Samsung Electronics Company Limited	3	KR
5000258	0	a-0005			SAMSUNG ELECTRONICS CO., LTD.	3	KR
5000259	0	a-0005			Samsung Electronics Company Limited	3	KR
5000260	0	a-0005			Samsung Electronics Co., Ltd.	3	KR
5000261	0	a-0005			Samsung Electronics Co., Ltd.	3	KR
5000262	0	a-0006			Intel Corporation	3	US
5000263	0	a-0006			INTEL CORPORATION	3	US
5000264	0	a-0006			Intel Corporation	3	US
5000265	0	a-0006			Intel Corporation	3	US
5000266	0	a-0006			INTEL CORPORATION	3	US
5000267	0	a-0006			Intel Corporation	3	US
5000268	0	a-0006			INTEL CORPORATION	3	US
5000269	0	a-0006			Intel Corporation	3	US
5000270	0	a-0007			TOKYO ELECTRON LIMITED	3	JP
5000271	0	a-0007			TOKYO ELECTRON LIMITED	3	JP
5000272	0	a-0008			APPLIED MATERIALS, INC.	3	US
5000273	0	a-0008			Applied Materials, Inc.	3	US
5000274	0	a-0008			APPLIED MATERIALS, INC.	3	US
5000275	0	a-0008			Applied Materials, Inc.	3	US
5000276	0	a-0008			APPLIED MATERIALS, INC.	3	US
5000277	0	a-0008			APPLIED MATERIALS, INC.	3	US
5000278	0	a-0009			Gigaphoton Inc.	3	JP
5000279	0	a-0009			Gigaphoton Inc.	3	JP
5000280	0	a-0009			Gigaphoton Inc.	3	JP
5000281	0	a-0009			Gigaphoton Inc.	3	JP
5000282	0	a-0009			GIGAPHOTON INC.	3	JP
5000283	0	a-0009			GIGAPHOTON INC.	3	JP
5000284	0	a-0009			Gigaphoton Inc.	3	JP
5000285	0	a-0009			Gigaphoton Inc.	3	JP
5000286	0	a-0010			Cymer LLC	3	US
5000287	0	a-0010			Cymer LLC	3	US
5000288	0	a-0010			CYMER, INC.	3	US
5000289	0	a-0010			Cymer, Inc.	3	US
5000290	0	a-0011			INTERNATIONAL BUSINESS MACHINES CORPORATION	3	US
5000291	0	a-0011			International Business Machines Corporation	3	US
5000292	0	a-0011			International Business Machines Corporation	3	US
5000293	0	a-0011			INTERNATIONAL BUSINESS MACHINES CORPORATION	3	US
5000294	0	a-0011			International Business Machines Corporation	3	US
5000295	0	a-0011			INTERNATIONAL BUSINESS MACHINES CORPORATION	3	US
5000296	0	a-0000			ASML HOLDING N.V.	3	NL
5000297	0	a-0000			Asml Netherlands BV	3	NL
5000298	0	a-0000			Asml Netherlands BV	3	NL
5000299	0	a-0000			ASML Netherlands B.V.	3	NL
5000300	0	a-0000			ASML Netherlands, B.V.	3	NL
5000301	0	a-0000			Asml Netherlands BV	3	NL
5000302	0	a-0000			ASML Netherlands B.V.	3	NL
5000303	0	a-0000			ASML Netherlands, B.V.	3	NL
5000304	0	a-0000			ASML HOLDING N.V.	3	NL
5000305	0	a-0000			ASML HOLDING N.V.	3	NL
5000306	0	a-0000			ASML HOLDING N.V.	3	NL
5000307	0	a-0000			Asml Netherlands BV	3	NL
5000308	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000309	0	a-0001			Canon Inc.	3	JP
5000310	0	a-0001			Canon Inc.	3	JP
5000311	0	a-0001			Canon Kabushiki Kaisha	3	JP
5000312	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000313	0	a-0001			Canon Kabushiki Kaisha	3	JP
5000314	0	a-0001			Canon Inc.	3	JP
5000315	0	a-0002			Nikon Corporation	3	JP
5000316	0	a-0002			NIKON CORPORATION	3	JP
5000317	0	a-0002			Nikon Corporation	3	JP
5000318	0	a-0002			Nikon Corporation	3	JP
5000319	0	a-0002			Nikon Corp	3	JP
5000320	0	a-0002			Nikon Corporation	3	JP
5000321	0	a-0002			Nikon Corp	3	JP
5000322	0	a-0002			Nikon Corporation	3	JP
5000323	0	a-0002			NIKON CORPORATION	3	JP
5000324	0	a-0002			Nikon Corp	3	JP
5000325	0	a-0002			NIKON CORPORATION	3	JP
5000326	0	a-0002			Nikon Corporation	3	JP
5000327	0	a-0002			Nikon Corporation	3	JP
5000328	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000329	0	a-0003			Carl Zeiss SMT AG	3	DE
5000330	0	a-0003			Carl Zeiss SMT GmbH	3	DE
5000331	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000332	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000333	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000334	0	a-0003			Carl Zeiss SMT GmbH	3	DE
5000335	0	a-0003			Carl Zeiss SMT GmbH	3	DE
5000336	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000337	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000338	0	a-0003			Carl Zeiss SMT AG	3	DE
5000339	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000340	0	a-0005			SAMSUNG ELECTRONICS CO., LTD.	3	KR
5000341	0	a-0005			Samsung Electronics Company Limited	3	KR
5000342	0	a-0005			Samsung Electronics Co., Ltd.	3	KR
5000343	0	a-0005			Samsung Electronics Company Limited	3	KR
5000344	0	a-0005			Samsung Electronics Co., Ltd.	3	KR
5000345	0	a-0005			SAMSUNG ELECTRONICS CO., LTD.	3	KR
5000346	0	a-0005			Samsung Electronics Co., Ltd.	3	KR
5000347	0	a-0005			Samsung Electronics Company Limited	3	KR
5000348	0	a-0006			Intel Corporation	3	US
5000349	0	a-0006			INTEL CORPORATION	3	US
5000350	0	a-0008			Applied Materials, Inc.	3	US
5000351	0	a-0008			APPLIED MATERIALS, INC.	3	US
5000352	0	a-0008			APPLIED MATERIALS, INC.	3	US
5000353	0	a-0008			APPLIED MATERIALS, INC.	3	US
5000354	0	a-0008			APPLIED MATERIALS, INC.	3	US
5000355	0	a-0008			APPLIED MATERIALS, INC.	3	US
5000356	0	a-0009			Gigaphoton Inc.	3	JP
5000357	0	a-0009			Gigaphoton Inc.	3	JP
5000358	0	a-0009			Gigaphoton Inc.	3	JP
5000359	0	a-0009			GIGAPHOTON INC.	3	JP
5000360	0	a-0009			Gigaphoton Inc.	3	JP
5000361	0	a-0010			Cymer LLC	3	US
5000362	0	a-0010			CYMER, INC.	3	US
5000363	0	a-0010			Cymer, Inc.	3	US
5000364	0	a-0010			Cymer, Inc.	3	US
5000365	0	a-0010			Cymer LLC	3	US
5000366	0	a-0010			CYMER, INC.	3	US
5000367	0	a-0010			CYMER, INC.	3	US
5000368	0	a-0010			Cymer, Inc.	3	US
5000369	0	a-0011			International Business Machines Corporation	3	US
5000370	0	a-0011			International Business Machines Corporation	3	US
5000371	0	a-0011			INTERNATIONAL BUSINESS MACHINES CORPORATION	3	US
5000372	0	a-0011			International Business Machines Corporation	3	US
5000373	0	a-0011			INTERNATIONAL BUSINESS MACHINES CORPORATION	3	US
5000374	0	a-0011			International Business Machines Corporation	3	US
5000375	0	a-0011			INTERNATIONAL BUSINESS MACHINES CORPORATION	3	US
5000376	0	a-0000			ASML HOLDING N.V.	3	NL
5000377	0	a-0000			ASML HOLDING N.V.	3	NL
5000378	0	a-0000			ASML Netherlands B.V.	3	NL
5000379	0	a-0000			ASML HOLDING N.V.	3	NL
5000380	0	a-0000			ASML HOLDING N.V.	3	NL
5000381	0	a-0000			ASML Netherlands, B.V.	3	NL
5000382	0	a-0000			ASML HOLDING N.V.	3	NL
5000383	0	a-0000			Asml Netherlands BV	3	NL
5000384	0	a-0000			ASML Netherlands B.V.	3	NL
5000385	0	a-0000			ASML Netherlands, B.V.	3	NL
5000386	0	a-0000			ASML HOLDING N.V.	3	NL
5000387	0	a-0000			Asml Netherlands BV	3	NL
5000388	0	a-0000			ASML Netherlands B.V.	3	NL
5000389	0	a-0000			ASML Netherlands, B.V.	3	NL
5000390	0	a-0000			Asml Netherlands BV	3	NL
5000391	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000392	0	a-0001			Canon Inc.	3	JP
5000393	0	a-0001			Canon Inc.	3	JP
5000394	0	a-0001			Canon Inc.	3	JP
5000395	0	a-0001			Canon Kabushiki Kaisha	3	JP
5000396	0	a-0001			Canon Inc.	3	JP
5000397	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000398	0	a-0001			Canon Inc.	3	JP
5000399	0	a-0001			Canon Inc.	3	JP
5000400	0	a-0001			Canon Kabushiki Kaisha	3	JP
5000401	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000402	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000403	0	a-0001			Canon Inc.	3	JP
5000404	0	a-0001			Canon Inc.	3	JP
5000405	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000406	0	a-0001			CANON KABUSHIKI KAISHA	3	JP
5000407	0	a-0002			Nikon Corporation	3	JP
5000408	0	a-0002			NIKON CORPORATION	3	JP
5000409	0	a-0002			NIKON CORPORATION	3	JP
5000410	0	a-0002			Nikon Corp	3	JP
5000411	0	a-0002			NIKON CORPORATION	3	JP
5000412	0	a-0002			Nikon Corporation	3	JP
5000413	0	a-0002			NIKON CORPORATION	3	JP
5000414	0	a-0002			Nikon Corp	3	JP
5000415	0	a-0002			Nikon Corporation	3	JP
5000416	0	a-0002			Nikon Corp	3	JP
5000417	0	a-0003			Carl Zeiss SMT GmbH	3	DE
5000418	0	a-0003			Carl Zeiss SMT GmbH	3	DE
5000419	0	a-0003			Carl Zeiss SMT AG	3	DE
5000420	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000421	0	a-0003			CARL ZEISS SMT GMBH	3	DE
5000422	0	a-0004			Taiwan Semiconductor Manufacturing Company, Ltd.	3	TW
5000423	0	a-0004			Taiwan Semiconductor Manufacturing Company, Ltd.	3	TW
5000424	0	a-0004			TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED	3	TW
5000425	0	a-0004			TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED	3	TW
5000426	0	a-0004			Taiwan Semiconductor Manufacturing Co., Ltd.	3	TW
5000427	0	a-0006			Intel Corporation	3	US
5000428	0	a-0006			Intel Corporation	3	US
5000429	0	a-0006			INTEL CORPORATION	3	US
5000430	0	a-0006			Intel Corporation	3	US
5000431	0	a-0006			Intel Corporation	3	US
5000432	0	a-0007			Tokyo Electron Limited	3	JP
5000433	0	a-0007			Tokyo Electron Limited	3	JP
5000434	0	a-0007			TOKYO ELECTRON LIMITED	3	JP
5000435	0	a-0007			Tokyo Electron Limited	3	JP
5000436	0	a-0007			TOKYO ELECTRON LIMITED	3	JP
5000437	0	a-0007			Tokyo Electron Limited	3	JP
5000438	0	a-0007			Tokyo Electron Limited	3	JP
5000439	0	a-0007			Tokyo Electron Limited	3	JP
5000440	0	a-0007			Tokyo Electron Limited	3	JP
5000441	0	a-0007			Tokyo Electron Limited	3	JP
5000442	0	a-0007			TOKYO ELECTRON LIMITED	3	JP
5000443	0	a-0008			APPLIED MATERIALS, INC.	3	US
5000444	0	a-0008			Applied Materials, Inc.	3	US
5000445	0	a-0008			APPLIED MATERIALS, INC.	3	US
5000446	0	a-0008			Applied Materials, Inc.	3	US
5000447	0	a-0008			Applied Materials, Inc.	3	US
5000448	0	a-0008			APPLIED MATERIALS, INC.	3	US
5000449	0	a-0008			APPLIED MATERIALS, INC.	3	US
5000450	0	a-0009			Gigaphoton Inc.	3	JP
5000451	0	a-0009			GIGAPHOTON INC.	3	JP
5000452	0	a-0009			GIGAPHOTON INC.	3	JP
5000453	0	a-0010			Cymer LLC	3	US
5000454	0	a-0011			INTERNATIONAL BUSINESS MACHINES CORPORATION	3	US
5000455	0	a-0011			International Business Machines Corporation	3	US
5000456	0	a-0011			International Business Machines Corporation	3	US
5000457	0	a-0011			International Business Machines Corporation	3	US
5000458	0	a-0011			INTERNATIONAL BUSINESS MACHINES CORPORATION	3	US
5000459	0	a-0011			INTERNATIONAL BUSINESS MACHINES CORPORATION	3	US
5000460	0	a-0011			INTERNATIONAL BUSINESS MACHINES CORPORATION	3	US
5000461	0	a-0000			Asml Netherlands BV	3	NL
5000462	0	a-0000			ASML Netherlands, B.V.	3	NL
5000463	0	a-0000			ASML HOLDING N.V.	3	NL
5000464	0	a-0000			ASML Netherlands, B.V.	3	NL
5000465	0	a-0000			Asml Netherlands BV	3	NL
5000466	0	a-0000			ASML HOLDING N.V.	3	NL
5000467	0	a-0000			Asml Netherlands BV	3	NL
5000468	0	a-0000			ASML HOLDING N.V.	3	NL
5000469	0	a-0000			ASML Netherlands B.V.	3	NL
5000470	0	a-0000			ASML HOLDING N.V.	3	NL
5000471	0	a-0000			ASML Netherlands B.V.	3	NL
5000472	0	a-0000			Asml Netherlands BV	3	NL
