patent_id	patent_type	patent_date	patent_title	wipo_kind	num_claims	withdrawn
5000063	utility	2005-03-21	Masks / reticles method and apparatus	B2	16	0
5000064	utility	2006-05-16	Exposure; illumination method and apparatus	B2	24	0
5000065	utility	2006-08-05	Exposure apparatus method and apparatus	B2	16	0
5000066	utility	2006-11-23	Alignment / registration method and apparatus	B2	16	0
5000067	utility	2006-08-07	Exposure; illumination method and apparatus	B2	25	0
5000068	utility	2006-12-20	EUV masks method and apparatus	B2	12	0
5000069	utility	2006-03-17	Exposure; illumination method and apparatus	B2	21	0
5000070	utility	2006-01-21	Exposure apparatus method and apparatus	B2	19	0
5000071	utility	2006-07-01	Alignment / registration method and apparatus	B2	25	0
5000072	utility	2006-03-21	EUV masks method and apparatus	B2	15	0
5000073	utility	2006-01-13	Resist coating method and apparatus	B2	13	0
5000074	utility	2006-07-30	Exposure; illumination method and apparatus	B2	29	0
5000075	utility	2006-12-26	Exposure apparatus method and apparatus	B2	11	0
5000076	utility	2006-04-24	Resist coating method and apparatus	B2	14	0
5000077	utility	2006-04-27	Exposure apparatus method and apparatus	B2	15	0
5000078	utility	2006-05-23	Exposure apparatus method and apparatus	B2	10	0
5000079	utility	2006-10-02	Exposure; illumination method and apparatus	B2	18	0
5000080	utility	2006-05-14	Alignment / registration method and apparatus	B2	13	0
5000081	utility	2006-11-02	Exposure apparatus method and apparatus	B2	21	0
5000082	utility	2006-09-19	Exposure apparatus method and apparatus	B2	11	0
5000083	utility	2006-01-23	Exposure apparatus method and apparatus	B2	30	0
5000084	utility	2006-10-03	Alignment / registration method and apparatus	B2	29	0
5000085	utility	2006-04-11	Exposure; illumination method and apparatus	B2	19	0
5000086	utility	2006-11-16	Exposure; illumination method and apparatus	B2	18	0
5000087	utility	2006-06-03	Exposure; illumination method and apparatus	B2	24	0
5000088	utility	2006-12-23	Exposure apparatus method and apparatus	B2	17	0
5000089	utility	2006-07-14	Exposure apparatus method and apparatus	B2	29	0
5000090	utility	2006-06-04	Exposure; illumination method and apparatus	B2	20	0
5000091	utility	2006-04-18	Exposure apparatus method and apparatus	B2	21	0
5000092	utility	2006-08-27	Exposure; illumination method and apparatus	B2	22	0
5000093	utility	2006-03-28	Exposure apparatus method and apparatus	B2	29	0
5000094	utility	2006-11-14	Exposure; illumination method and apparatus	B2	18	0
5000095	utility	2006-01-13	Masks / reticles method and apparatus	B2	9	0
5000096	utility	2006-02-07	EUV masks method and apparatus	B2	22	0
5000097	utility	2006-12-23	EUV masks method and apparatus	B2	20	0
5000098	utility	2006-12-19	Masks / reticles method and apparatus	B2	8	0
5000099	utility	2006-04-23	Photoresist / process method and apparatus	B2	13	0
5000100	utility	2006-03-04	EUV masks method and apparatus	B2	22	0
5000101	utility	2006-10-14	Photoresist / process method and apparatus	B2	27	0
5000102	utility	2006-09-16	Photoresist / process method and apparatus	B2	21	0
5000103	utility	2006-09-01	Photoresist / process method and apparatus	B2	22	0
5000104	utility	2006-05-22	Photoresist / process method and apparatus	B2	24	0
5000105	utility	2006-02-09	Resist coating method and apparatus	B2	30	0
5000106	utility	2006-10-04	Resist coating method and apparatus	B2	10	0
5000107	utility	2006-08-01	Resist coating method and apparatus	B2	21	0
5000108	utility	2006-04-16	Resist coating method and apparatus	B2	21	0
5000109	utility	2006-10-22	Photoresist / process method and apparatus	B2	20	0
5000110	utility	2006-07-19	Exposure; illumination method and apparatus	B2	21	0
5000111	utility	2006-05-20	Exposure; illumination method and apparatus	B2	21	0
5000112	utility	2006-12-14	Exposure; illumination method and apparatus	B2	20	0
5000113	utility	2006-11-15	Exposure; illumination method and apparatus	B2	25	0
5000114	utility	2006-12-06	Exposure; illumination method and apparatus	B2	8	0
5000115	utility	2006-07-14	Exposure; illumination method and apparatus	B2	18	0
5000116	utility	2006-07-14	Exposure; illumination method and apparatus	B2	16	0
5000117	utility	2006-02-11	Exposure; illumination method and apparatus	B2	23	0
5000118	utility	2006-06-29	Exposure; illumination method and apparatus	B2	15	0
5000119	utility	2006-01-16	Exposure; illumination method and apparatus	B2	15	0
5000120	utility	2006-05-03	Exposure; illumination method and apparatus	B2	12	0
5000121	utility	2006-04-22	Photoresist / process method and apparatus	B2	22	0
5000122	utility	2006-11-07	Photoresist / process method and apparatus	B2	30	0
5000123	utility	2006-02-25	Masks / reticles method and apparatus	B2	26	0
5000124	utility	2006-07-12	Photoresist / process method and apparatus	B2	20	0
5000125	utility	2006-12-20	Photoresist / process method and apparatus	B2	28	0
5000126	utility	2006-11-04	Masks / reticles method and apparatus	B2	11	0
5000127	utility	2007-09-17	Exposure apparatus method and apparatus	B2	28	0
5000128	utility	2007-02-24	Alignment / registration method and apparatus	B2	21	0
5000129	utility	2007-08-11	Alignment / registration method and apparatus	B2	13	0
5000130	utility	2007-10-03	Exposure; illumination method and apparatus	B2	23	0
5000131	utility	2007-05-06	Exposure apparatus method and apparatus	B2	10	0
5000132	utility	2007-08-26	Exposure apparatus method and apparatus	B2	26	0
5000133	utility	2007-09-11	Exposure apparatus method and apparatus	B2	18	0
5000134	utility	2007-05-13	Exposure apparatus method and apparatus	B2	18	0
5000135	utility	2007-09-22	Exposure; illumination method and apparatus	B2	14	0
5000136	utility	2007-05-04	Exposure apparatus method and apparatus	B2	30	0
5000137	utility	2007-01-09	Exposure apparatus method and apparatus	B2	10	0
5000138	utility	2007-06-06	Exposure; illumination method and apparatus	B2	29	0
5000139	utility	2007-06-26	Exposure; illumination method and apparatus	B2	21	0
5000140	utility	2007-12-26	Exposure apparatus method and apparatus	B2	22	0
5000141	utility	2007-04-09	Exposure apparatus method and apparatus	B2	18	0
5000142	utility	2007-12-20	Resist coating method and apparatus	B2	13	0
5000143	utility	2007-10-29	Exposure apparatus method and apparatus	B2	24	0
5000144	utility	2007-06-01	Resist coating method and apparatus	B2	15	0
5000145	utility	2007-10-01	Exposure apparatus method and apparatus	B2	12	0
5000146	utility	2007-12-24	Exposure; illumination method and apparatus	B2	12	0
5000147	utility	2007-01-07	Exposure apparatus method and apparatus	B2	26	0
5000148	utility	2007-09-02	Exposure apparatus method and apparatus	B2	11	0
5000149	utility	2007-10-23	Exposure apparatus method and apparatus	B2	28	0
5000150	utility	2007-10-16	Exposure apparatus method and apparatus	B2	17	0
5000151	utility	2007-08-02	Exposure apparatus method and apparatus	B2	27	0
5000152	utility	2007-09-25	Exposure apparatus method and apparatus	B2	20	0
5000153	utility	2007-10-29	Exposure apparatus method and apparatus	B2	21	0
5000154	utility	2007-02-20	Exposure apparatus method and apparatus	B2	14	0
5000155	utility	2007-03-22	Exposure; illumination method and apparatus	B2	15	0
5000156	utility	2007-07-29	Exposure apparatus method and apparatus	B2	22	0
5000157	utility	2007-04-29	Exposure apparatus method and apparatus	B2	17	0
5000158	utility	2007-02-06	Exposure; illumination method and apparatus	B2	29	0
5000159	utility	2007-11-17	Exposure; illumination method and apparatus	B2	26	0
5000160	utility	2007-10-06	Exposure apparatus method and apparatus	B2	15	0
5000161	utility	2007-02-06	Exposure; illumination method and apparatus	B2	9	0
5000162	utility	2007-10-19	Exposure; illumination method and apparatus	B2	17	0
5000163	utility	2007-12-25	Exposure; illumination method and apparatus	B2	20	0
5000164	utility	2007-08-13	Exposure apparatus method and apparatus	B2	10	0
5000165	utility	2007-04-28	Masks / reticles method and apparatus	B2	29	0
5000166	utility	2007-01-11	EUV masks method and apparatus	B2	29	0
5000167	utility	2007-03-31	Masks / reticles method and apparatus	B2	23	0
5000168	utility	2007-04-03	Alignment / registration method and apparatus	B2	26	0
5000169	utility	2007-06-14	EUV masks method and apparatus	B2	29	0
5000170	utility	2007-12-22	EUV masks method and apparatus	B2	23	0
5000171	utility	2007-10-09	Alignment / registration method and apparatus	B2	9	0
5000172	utility	2007-03-01	EUV masks method and apparatus	B2	20	0
5000173	utility	2007-10-05	Photoresist / process method and apparatus	B2	22	0
5000174	utility	2007-11-15	Photoresist / process method and apparatus	B2	23	0
5000175	utility	2007-10-09	EUV masks method and apparatus	B2	12	0
5000176	utility	2007-09-06	Alignment / registration method and apparatus	B2	11	0
5000177	utility	2007-06-09	Photoresist / process method and apparatus	B2	25	0
5000178	utility	2007-02-28	Resist coating method and apparatus	B2	22	0
5000179	utility	2007-05-30	Resist coating method and apparatus	B2	24	0
5000180	utility	2007-08-30	Photoresist / process method and apparatus	B2	15	0
5000181	utility	2007-03-11	Exposure; illumination method and apparatus	B2	10	0
5000182	utility	2007-09-17	Exposure; illumination method and apparatus	B2	16	0
5000183	utility	2007-10-28	Exposure; illumination method and apparatus	B2	26	0
5000184	utility	2007-08-17	Exposure; illumination method and apparatus	B2	25	0
5000185	utility	2007-10-06	Exposure; illumination method and apparatus	B2	20	0
5000186	utility	2007-12-24	Exposure; illumination method and apparatus	B2	15	0
5000187	utility	2007-07-30	Exposure; illumination method and apparatus	B2	9	0
5000188	utility	2007-07-15	Exposure; illumination method and apparatus	B2	20	0
5000189	utility	2007-01-19	Exposure; illumination method and apparatus	B2	12	0
5000190	utility	2007-09-27	Exposure; illumination method and apparatus	B2	22	0
5000191	utility	2007-12-02	Exposure; illumination method and apparatus	B2	12	0
5000192	utility	2007-12-21	Exposure; illumination method and apparatus	B2	20	0
5000193	utility	2007-10-01	Exposure; illumination method and apparatus	B2	20	0
5000194	utility	2007-09-07	Exposure; illumination method and apparatus	B2	25	0
5000195	utility	2007-12-17	Exposure; illumination method and apparatus	B2	17	0
5000196	utility	2007-02-20	Exposure; illumination method and apparatus	B2	28	0
5000197	utility	2007-12-22	Exposure; illumination method and apparatus	B2	17	0
5000198	utility	2007-01-29	Exposure; illumination method and apparatus	B2	17	0
5000199	utility	2008-04-02	Exposure; illumination method and apparatus	B2	13	0
5000200	utility	2008-05-03	Exposure; illumination method and apparatus	B2	23	0
5000201	utility	2008-11-22	Exposure apparatus method and apparatus	B2	16	0
5000202	utility	2008-08-26	EUV masks method and apparatus	B2	17	0
5000203	utility	2008-06-25	Exposure apparatus method and apparatus	B2	26	0
5000204	utility	2008-08-21	Alignment / registration method and apparatus	B2	17	0
5000205	utility	2008-02-24	Alignment / registration method and apparatus	B2	15	0
5000206	utility	2008-12-24	Exposure; illumination method and apparatus	B2	17	0
5000207	utility	2008-10-16	Exposure apparatus method and apparatus	B2	29	0
5000208	utility	2008-09-11	EUV masks method and apparatus	B2	17	0
5000209	utility	2008-06-29	Exposure; illumination method and apparatus	B2	15	0
5000210	utility	2008-12-03	Alignment / registration method and apparatus	B2	29	0
5000211	utility	2008-11-26	EUV masks method and apparatus	B2	9	0
5000212	utility	2008-07-05	Exposure apparatus method and apparatus	B2	12	0
5000213	utility	2008-07-31	Exposure apparatus method and apparatus	B2	13	0
5000214	utility	2008-07-06	Resist coating method and apparatus	B2	24	0
5000215	utility	2008-05-11	Resist coating method and apparatus	B2	23	0
5000216	utility	2008-06-22	Exposure; illumination method and apparatus	B2	11	0
5000217	utility	2008-04-25	Exposure apparatus method and apparatus	B2	29	0
5000218	utility	2008-10-12	Resist coating method and apparatus	B2	19	0
5000219	utility	2008-10-01	Exposure apparatus method and apparatus	B2	11	0
5000220	utility	2008-05-14	Exposure; illumination method and apparatus	B2	26	0
5000221	utility	2008-02-25	Resist coating method and apparatus	B2	29	0
5000222	utility	2008-10-14	Exposure; illumination method and apparatus	B2	18	0
5000223	utility	2008-11-21	Exposure; illumination method and apparatus	B2	22	0
5000224	utility	2008-02-29	Exposure; illumination method and apparatus	B2	12	0
5000225	utility	2008-09-09	Exposure apparatus method and apparatus	B2	11	0
5000226	utility	2008-12-22	Exposure; illumination method and apparatus	B2	25	0
5000227	utility	2008-07-31	Exposure; illumination method and apparatus	B2	28	0
5000228	utility	2008-05-23	Exposure; illumination method and apparatus	B2	9	0
5000229	utility	2008-04-30	Exposure apparatus method and apparatus	B2	19	0
5000230	utility	2008-11-26	Exposure apparatus method and apparatus	B2	19	0
5000231	utility	2008-03-03	Exposure apparatus method and apparatus	B2	22	0
5000232	utility	2008-11-01	Exposure; illumination method and apparatus	B2	8	0
5000233	utility	2008-03-05	Exposure apparatus method and apparatus	B2	26	0
5000234	utility	2008-04-20	Exposure apparatus method and apparatus	B2	15	0
5000235	utility	2008-11-01	Exposure; illumination method and apparatus	B2	8	0
5000236	utility	2008-10-03	Alignment / registration method and apparatus	B2	16	0
5000237	utility	2008-01-14	Exposure; illumination method and apparatus	B2	12	0
5000238	utility	2008-01-09	Exposure; illumination method and apparatus	B2	13	0
5000239	utility	2008-09-26	Exposure; illumination method and apparatus	B2	11	0
5000240	utility	2008-07-04	Exposure apparatus method and apparatus	B2	24	0
5000241	utility	2008-11-10	Exposure apparatus method and apparatus	B2	9	0
5000242	utility	2008-08-22	Exposure apparatus method and apparatus	B2	28	0
5000243	utility	2008-07-24	Exposure; illumination method and apparatus	B2	21	0
5000244	utility	2008-08-15	Exposure; illumination method and apparatus	B2	10	0
5000245	utility	2008-02-03	Exposure; illumination method and apparatus	B2	12	0
5000246	utility	2008-12-30	Exposure; illumination method and apparatus	B2	18	0
5000247	utility	2008-08-20	Exposure apparatus method and apparatus	B2	24	0
5000248	utility	2008-02-28	Exposure; illumination method and apparatus	B2	28	0
5000249	utility	2008-04-20	Exposure; illumination method and apparatus	B2	21	0
5000250	utility	2008-08-20	Exposure apparatus method and apparatus	B2	20	0
5000251	utility	2008-03-19	Masks / reticles method and apparatus	B2	29	0
5000252	utility	2008-02-13	Masks / reticles method and apparatus	B2	10	0
5000253	utility	2008-03-07	Photoresist / process method and apparatus	B2	25	0
5000254	utility	2008-12-09	EUV masks method and apparatus	B2	11	0
5000255	utility	2008-08-04	Photoresist / process method and apparatus	B2	9	0
5000256	utility	2008-02-23	Masks / reticles method and apparatus	B2	26	0
5000257	utility	2008-04-24	EUV masks method and apparatus	B2	11	0
5000258	utility	2008-05-22	EUV masks method and apparatus	B2	26	0
5000259	utility	2008-11-14	Photoresist / process method and apparatus	B2	27	0
5000260	utility	2008-12-02	Masks / reticles method and apparatus	B2	30	0
5000261	utility	2008-06-07	Masks / reticles method and apparatus	B2	18	0
5000262	utility	2008-03-13	EUV masks method and apparatus	B2	28	0
5000263	utility	2008-04-20	Alignment / registration method and apparatus	B2	20	0
5000264	utility	2008-06-08	EUV masks method and apparatus	B2	18	0
5000265	utility	2008-03-20	Alignment / registration method and apparatus	B2	13	0
5000266	utility	2008-05-19	Photoresist / process method and apparatus	B2	22	0
5000267	utility	2008-07-31	Photoresist / process method and apparatus	B2	16	0
5000268	utility	2008-02-26	EUV masks method and apparatus	B2	17	0
5000269	utility	2008-06-06	Photoresist / process method and apparatus	B2	9	0
5000270	utility	2008-06-03	Resist coating method and apparatus	B2	14	0
5000271	utility	2008-03-02	Resist coating method and apparatus	B2	8	0
5000272	utility	2008-09-13	Photoresist / process method and apparatus	B2	25	0
5000273	utility	2008-01-22	Resist coating method and apparatus	B2	21	0
5000274	utility	2008-10-21	Photoresist / process method and apparatus	B2	21	0
5000275	utility	2008-07-26	Resist coating method and apparatus	B2	8	0
5000276	utility	2008-11-12	Photoresist / process method and apparatus	B2	22	0
5000277	utility	2008-02-24	Resist coating method and apparatus	B2	15	0
5000278	utility	2008-07-21	Exposure; illumination method and apparatus	B2	17	0
5000279	utility	2008-03-27	Exposure; illumination method and apparatus	B2	10	0
5000280	utility	2008-04-09	Exposure; illumination method and apparatus	B2	19	0
5000281	utility	2008-03-15	Exposure; illumination method and apparatus	B2	16	0
5000282	utility	2008-12-01	Exposure; illumination method and apparatus	B2	10	0
5000283	utility	2008-10-15	Exposure; illumination method and apparatus	B2	26	0
5000284	utility	2008-11-17	Exposure; illumination method and apparatus	B2	18	0
5000285	utility	2008-11-19	Exposure; illumination method and apparatus	B2	17	0
5000286	utility	2008-01-20	Exposure; illumination method and apparatus	B2	9	0
5000287	utility	2008-02-16	Exposure; illumination method and apparatus	B2	27	0
5000288	utility	2008-10-10	Exposure; illumination method and apparatus	B2	9	0
5000289	utility	2008-06-13	Exposure; illumination method and apparatus	B2	27	0
5000290	utility	2008-08-18	Masks / reticles method and apparatus	B2	11	0
5000291	utility	2008-02-13	Masks / reticles method and apparatus	B2	24	0
5000292	utility	2008-08-12	Photoresist / process method and apparatus	B2	22	0
5000293	utility	2008-05-24	Photoresist / process method and apparatus	B2	20	0
5000294	utility	2008-01-27	Masks / reticles method and apparatus	B2	28	0
5000295	utility	2008-10-12	Photoresist / process method and apparatus	B2	29	0
5000296	utility	2009-03-18	EUV masks method and apparatus	B2	18	0
5000297	utility	2009-06-08	EUV masks method and apparatus	B2	28	0
5000298	utility	2009-12-29	Exposure apparatus method and apparatus	B2	10	0
5000299	utility	2009-06-18	Exposure; illumination method and apparatus	B2	12	0
5000300	utility	2009-08-05	Exposure; illumination method and apparatus	B2	24	0
5000301	utility	2009-04-20	Exposure apparatus method and apparatus	B2	18	0
5000302	utility	2009-03-12	Exposure apparatus method and apparatus	B2	12	0
5000303	utility	2009-10-04	Exposure; illumination method and apparatus	B2	24	0
5000304	utility	2009-11-13	EUV masks method and apparatus	B2	12	0
5000305	utility	2009-12-21	Exposure apparatus method and apparatus	B2	27	0
5000306	utility	2009-01-23	Alignment / registration method and apparatus	B2	21	0
5000307	utility	2009-11-09	EUV masks method and apparatus	B2	17	0
5000308	utility	2009-05-03	Exposure apparatus method and apparatus	B2	17	0
5000309	utility	2009-04-10	Resist coating method and apparatus	B2	19	0
5000310	utility	2009-08-25	Resist coating method and apparatus	B2	17	0
5000311	utility	2009-03-24	Exposure; illumination method and apparatus	B2	14	0
5000312	utility	2009-01-27	Resist coating method and apparatus	B2	28	0
5000313	utility	2009-02-22	Exposure; illumination method and apparatus	B2	30	0
5000314	utility	2009-03-24	Exposure apparatus method and apparatus	B2	16	0
5000315	utility	2009-04-24	Alignment / registration method and apparatus	B2	22	0
5000316	utility	2009-07-22	Exposure apparatus method and apparatus	B2	24	0
5000317	utility	2009-07-11	Alignment / registration method and apparatus	B2	15	0
5000318	utility	2009-11-29	Alignment / registration method and apparatus	B2	18	0
5000319	utility	2009-08-30	Exposure apparatus method and apparatus	B2	30	0
5000320	utility	2009-11-12	Exposure apparatus method and apparatus	B2	8	0
5000321	utility	2009-03-18	Exposure apparatus method and apparatus	B2	25	0
5000322	utility	2009-02-26	Exposure; illumination method and apparatus	B2	17	0
5000323	utility	2009-08-03	Exposure apparatus method and apparatus	B2	28	0
5000324	utility	2009-09-13	Exposure apparatus method and apparatus	B2	27	0
5000325	utility	2009-05-04	Exposure; illumination method and apparatus	B2	30	0
5000326	utility	2009-06-30	Exposure apparatus method and apparatus	B2	15	0
5000327	utility	2009-02-13	Exposure; illumination method and apparatus	B2	24	0
5000328	utility	2009-10-06	Exposure; illumination method and apparatus	B2	24	0
5000329	utility	2009-07-19	Exposure apparatus method and apparatus	B2	23	0
5000330	utility	2009-05-10	Exposure; illumination method and apparatus	B2	8	0
5000331	utility	2009-12-03	Exposure apparatus method and apparatus	B2	28	0
5000332	utility	2009-06-20	Exposure; illumination method and apparatus	B2	12	0
5000333	utility	2009-11-26	Exposure apparatus method and apparatus	B2	13	0
5000334	utility	2009-12-23	Exposure apparatus method and apparatus	B2	23	0
5000335	utility	2009-08-23	Exposure apparatus method and apparatus	B2	9	0
5000336	utility	2009-01-22	Exposure; illumination method and apparatus	B2	18	0
5000337	utility	2009-10-06	Exposure apparatus method and apparatus	B2	23	0
5000338	utility	2009-07-02	Exposure apparatus method and apparatus	B2	9	0
5000339	utility	2009-07-08	Exposure apparatus method and apparatus	B2	21	0
5000340	utility	2009-04-06	EUV masks method and apparatus	B2	23	0
5000341	utility	2009-09-23	Photoresist / process method and apparatus	B2	16	0
5000342	utility	2009-08-09	EUV masks method and apparatus	B2	27	0
5000343	utility	2009-06-14	EUV masks method and apparatus	B2	11	0
5000344	utility	2009-08-17	Masks / reticles method and apparatus	B2	27	0
5000345	utility	2009-06-29	Photoresist / process method and apparatus	B2	22	0
5000346	utility	2009-08-11	EUV masks method and apparatus	B2	16	0
5000347	utility	2009-11-23	Masks / reticles method and apparatus	B2	20	0
5000348	utility	2009-11-08	EUV masks method and apparatus	B2	29	0
5000349	utility	2009-05-01	EUV masks method and apparatus	B2	28	0
5000350	utility	2009-08-19	Resist coating method and apparatus	B2	19	0
5000351	utility	2009-09-29	Resist coating method and apparatus	B2	19	0
5000352	utility	2009-02-28	Resist coating method and apparatus	B2	8	0
5000353	utility	2009-10-15	Resist coating method and apparatus	B2	11	0
5000354	utility	2009-04-20	Photoresist / process method and apparatus	B2	27	0
5000355	utility	2009-03-11	Resist coating method and apparatus	B2	10	0
5000356	utility	2009-12-16	Exposure; illumination method and apparatus	B2	18	0
5000357	utility	2009-05-29	Exposure; illumination method and apparatus	B2	17	0
5000358	utility	2009-09-18	Exposure; illumination method and apparatus	B2	15	0
5000359	utility	2009-05-02	Exposure; illumination method and apparatus	B2	23	0
5000360	utility	2009-10-10	Exposure; illumination method and apparatus	B2	12	0
5000361	utility	2009-09-03	Exposure; illumination method and apparatus	B2	24	0
5000362	utility	2009-02-07	Exposure; illumination method and apparatus	B2	12	0
5000363	utility	2009-08-27	Exposure; illumination method and apparatus	B2	29	0
5000364	utility	2009-10-10	Exposure; illumination method and apparatus	B2	28	0
5000365	utility	2009-01-29	Exposure; illumination method and apparatus	B2	11	0
5000366	utility	2009-06-15	Exposure; illumination method and apparatus	B2	30	0
5000367	utility	2009-02-10	Exposure; illumination method and apparatus	B2	16	0
5000368	utility	2009-11-17	Exposure; illumination method and apparatus	B2	17	0
5000369	utility	2009-03-28	Photoresist / process method and apparatus	B2	26	0
5000370	utility	2009-11-16	Photoresist / process method and apparatus	B2	27	0
5000371	utility	2009-01-15	Masks / reticles method and apparatus	B2	10	0
5000372	utility	2009-10-20	Masks / reticles method and apparatus	B2	21	0
5000373	utility	2009-11-18	Photoresist / process method and apparatus	B2	25	0
5000374	utility	2009-12-17	Photoresist / process method and apparatus	B2	20	0
5000375	utility	2009-03-22	Masks / reticles method and apparatus	B2	22	0
5000376	utility	2010-06-13	Exposure apparatus method and apparatus	B2	19	0
5000377	utility	2010-09-21	Alignment / registration method and apparatus	B2	25	0
5000378	utility	2010-05-17	Exposure; illumination method and apparatus	B2	22	0
5000379	utility	2010-07-16	Exposure apparatus method and apparatus	B2	27	0
5000380	utility	2010-10-23	Alignment / registration method and apparatus	B2	18	0
5000381	utility	2010-09-21	Exposure; illumination method and apparatus	B2	22	0
5000382	utility	2010-02-16	Exposure; illumination method and apparatus	B2	20	0
5000383	utility	2010-06-30	Exposure apparatus method and apparatus	B2	9	0
5000384	utility	2010-12-01	Exposure; illumination method and apparatus	B2	29	0
5000385	utility	2010-08-09	Alignment / registration method and apparatus	B2	12	0
5000386	utility	2010-07-07	Alignment / registration method and apparatus	B2	9	0
5000387	utility	2010-05-28	Exposure apparatus method and apparatus	B2	10	0
5000388	utility	2010-05-24	Alignment / registration method and apparatus	B2	27	0
5000389	utility	2010-02-19	Exposure apparatus method and apparatus	B2	20	0
5000390	utility	2010-07-07	Exposure; illumination method and apparatus	B2	12	0
5000391	utility	2010-01-24	Exposure; illumination method and apparatus	B2	9	0
5000392	utility	2010-09-23	Resist coating method and apparatus	B2	22	0
5000393	utility	2010-11-10	Exposure apparatus method and apparatus	B2	18	0
5000394	utility	2010-06-03	Exposure; illumination method and apparatus	B2	26	0
